가맹점코드,위도,경도,가맹점명,주소
JQW8FC,37.4959332,127.0251891,매머드익스프레스(삼성타운점),"06619) 서울시 서초구 서운로 138, 108호(서초동, 서초동아타워) "
JZ2S5E,37.5634345,126.9730752,매머드익스프레스(서소문점),04515) 서울특별시 중구 서소문로11길 14 1층 
LFUBOU,37.4940658,127.0161417,맥도날드(서울교대점),"06633) 서울특별시 서초구 서초대로 316 1,2층 "
NSTR4Q,37.3405049,127.1080982,명가,463870) 경기도 성남시 분당구 성남대로 51
OVK8OS,37.4817399,126.8817895,명동칼국수(가산디지털점),"08502) 서울 금천구 가산디지털1로 186 가산동, 제이플라츠 지하1층 제B129-1호 "
Q2F8VP,37.4806587,126.8808751,메가MGC커피(가산SKV1센터점),"08503) 서울특별시 금천구 가산디지털1로 171 지상1층 117일부호(가산동, 가산 에스케이 브이원 센터) "
QIAN42,37.5471995,126.8748887,메가MGC커피(염창역점),07558) 서울특별시 강서구 공항대로 629 (염창동) 메가커피 
RJ9S1L,37.47145,126.8823543,매머드익스프레스(잔카드림타워점),08593) 서울특별시 금천구 가산디지털2로 35 1층 105호 
TCBHS8,37.5016181,126.7894349,매머드익스프레스(춘의테크노파크점),14557) 경기도 부천시 부천로198번길 36 춘의테크노파크 103동 106 일부호 
TUW0LY,37.5031698,127.0234988,매머드익스프레스(신논현점),06611) 서울특별시 서초구 사평대로56길 7 1층 107호 
VMJI7M,37.4770579,126.8796693,매머드익스프레스(한라원앤원타워점),"08505) 서울특별시 금천구 가산디지털2로 101, 1층 118호 "
VZ1KM4,37.5628129,126.9681095,매머드익스프레스(서대문역점),"03739) 서울시 서대문구 충정로 6길 59, 1층 A-5호(미근동, 서소문아파트) "
W8PQUN,37.490267,127.030605,맥도날드(서초뱅뱅점),06628) 서울특별시 강남구 서초동 1338-20 서초 현대렉시온 1층
YFU9IX,37.3105835,127.0816583,메가MGC커피(수지아이조움점),16860) 경기도 용인시 수지구 심곡로 87 . 
ZNPI19,37.5037267,127.0207918,멘야시노기,"06543) 서울특별시 서초구 주흥길 3 반포동 108호,109호 "
0OYSPQ,37.7374317,127.0447915,맘스터치_(의정부역점),"11651) 경기도 의정부시 신흥로240번길 26 의정부동, 동양레쉬빌II "
4W35BA,37.5077967,127.0217668,만추,"06536) 서울특별시 서초구 사평대로55길 82-14 1층, 103동(반포동, 코식빌딩) "
53H14U,37.4829591,126.8961638,만랩커피(구로코오롱타워점),08390) 서울특별시 구로구 디지털로30길 31 1층102호 
